customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
6,122,refined oil,2024-01-01,4,110,4,440,cash
11,121,refined oil,2024-01-01,3,110,3,330,UPI
1,121,quaker oats,2024-01-01,1,212,6,1272,cash
18,122,maida,2024-01-01,6,20,4,80,cash
10,123,clinic plus,2024-01-01,7,1.5,1,1.5,UPI
5,123,refined oil,2024-01-01,8,110,2,220,UPI
20,121,nutrella,2024-01-01,1,40,7,280,UPI
1,122,besan,2024-01-01,4,52,6,312,UPI
2,123,besan,2024-01-01,7,52,9,468,cash
3,123,clinic plus,2024-01-01,9,1.5,3,4.5,UPI
10,121,dantkanti,2024-01-01,1,100,10,1000,UPI
5,123,nutrella,2024-01-01,8,40,4,160,cash
13,122,besan,2024-01-01,5,52,10,520,UPI
11,122,sugar,2024-01-01,6,50,7,350,UPI
7,121,refined oil,2024-01-01,3,110,8,880,UPI
15,123,sugar,2024-01-01,9,50,2,100,cash
16,122,besan,2024-01-01,4,52,9,468,cash
1,121,maida,2024-01-01,1,20,7,140,cash
18,121,clinic plus,2024-01-01,2,1.5,10,15.0,cash
14,123,refined oil,2024-01-01,8,110,8,880,UPI
13,123,maida,2024-01-01,9,20,8,160,cash
1,122,quaker oats,2024-01-01,5,212,9,1908,cash
16,123,dantkanti,2024-01-01,7,100,5,500,UPI
13,122,maida,2024-01-01,5,20,5,100,cash
2,123,quaker oats,2024-01-01,8,212,1,212,cash
13,121,sugar,2024-01-01,3,50,10,500,cash
6,123,clinic plus,2024-01-01,7,1.5,6,9.0,UPI
13,122,refined oil,2024-01-01,4,110,9,990,cash
14,121,quaker oats,2024-01-01,2,212,5,1060,UPI
8,123,refined oil,2024-01-01,9,110,2,220,cash
20,123,sugar,2024-01-01,7,50,7,350,UPI
19,122,clinic plus,2024-01-01,5,1.5,1,1.5,cash
5,121,maida,2024-01-01,2,20,2,40,UPI
1,122,sugar,2024-01-01,5,50,9,450,cash
20,122,clinic plus,2024-01-01,4,1.5,9,13.5,cash
7,123,dantkanti,2024-01-01,8,100,5,500,cash
14,121,refined oil,2024-01-01,3,110,7,770,UPI
6,123,besan,2024-01-01,8,52,10,520,cash
7,121,maida,2024-01-01,2,20,6,120,UPI
6,122,refined oil,2024-01-01,6,110,5,550,UPI
9,122,refined oil,2024-01-01,4,110,4,440,cash
2,123,refined oil,2024-01-01,9,110,5,550,cash
2,122,besan,2024-01-01,6,52,1,52,UPI
6,122,dantkanti,2024-01-01,6,100,9,900,UPI
15,123,maida,2024-01-01,9,20,5,100,UPI
13,121,quaker oats,2024-01-01,3,212,10,2120,cash
13,123,clinic plus,2024-01-01,7,1.5,10,15.0,UPI
7,122,quaker oats,2024-01-01,6,212,10,2120,UPI
14,121,quaker oats,2024-01-01,3,212,1,212,UPI
8,122,refined oil,2024-01-01,5,110,1,110,cash
4,122,besan,2024-01-01,6,52,10,520,UPI
15,122,refined oil,2024-01-01,4,110,5,550,cash
14,121,nutrella,2024-01-01,1,40,5,200,cash
13,122,besan,2024-01-01,6,52,4,208,cash
17,121,quaker oats,2024-01-01,1,212,2,424,UPI
14,121,nutrella,2024-01-01,1,40,3,120,cash
9,121,maida,2024-01-01,3,20,6,120,UPI
16,123,maida,2024-01-01,8,20,4,80,cash
12,122,sugar,2024-01-01,5,50,3,150,UPI
14,123,maida,2024-01-01,9,20,4,80,UPI
13,122,nutrella,2024-01-01,6,40,10,400,UPI
10,121,maida,2024-01-01,1,20,4,80,UPI
5,122,sugar,2024-01-01,4,50,6,300,UPI
14,122,sugar,2024-01-01,6,50,7,350,UPI
7,121,dantkanti,2024-01-01,3,100,9,900,UPI
10,123,sugar,2024-01-01,8,50,2,100,cash
6,123,sugar,2024-01-01,8,50,9,450,cash
16,122,maida,2024-01-01,6,20,8,160,cash
5,122,sugar,2024-01-01,6,50,10,500,UPI
11,123,besan,2024-01-01,8,52,9,468,cash
17,122,dantkanti,2024-01-01,6,100,8,800,UPI
11,123,dantkanti,2024-01-01,7,100,7,700,cash
4,123,refined oil,2024-01-01,8,110,8,880,cash
18,121,refined oil,2024-01-01,2,110,9,990,cash
13,122,refined oil,2024-01-01,5,110,7,770,UPI
18,121,nutrella,2024-01-01,3,40,2,80,cash
9,121,refined oil,2024-01-01,3,110,6,660,cash
6,122,maida,2024-01-01,6,20,5,100,UPI
13,122,quaker oats,2024-01-01,4,212,1,212,UPI
12,123,sugar,2024-01-01,8,50,2,100,UPI
16,121,quaker oats,2024-01-01,1,212,8,1696,cash
11,123,quaker oats,2024-01-01,7,212,4,848,UPI
20,121,nutrella,2024-01-01,2,40,4,160,UPI
3,123,maida,2024-01-01,7,20,3,60,UPI
2,123,quaker oats,2024-01-01,8,212,1,212,cash
4,123,refined oil,2024-01-01,8,110,6,660,UPI
16,121,maida,2024-01-01,1,20,6,120,UPI
8,121,sugar,2024-01-01,1,50,1,50,UPI
15,122,nutrella,2024-01-01,4,40,7,280,cash
10,122,quaker oats,2024-01-01,6,212,9,1908,cash
10,122,clinic plus,2024-01-01,6,1.5,1,1.5,cash
4,123,maida,2024-01-01,8,20,1,20,cash
5,122,sugar,2024-01-01,6,50,5,250,UPI
7,123,besan,2024-01-01,9,52,8,416,cash
10,122,dantkanti,2024-01-01,5,100,7,700,cash
16,121,quaker oats,2024-01-01,1,212,2,424,cash
15,122,sugar,2024-01-01,6,50,2,100,UPI
19,122,nutrella,2024-01-01,5,40,2,80,UPI
5,122,quaker oats,2024-01-01,4,212,3,636,cash
9,121,quaker oats,2024-01-01,2,212,9,1908,UPI
7,121,besan,2024-01-01,3,52,1,52,cash
1,122,maida,2024-01-01,5,20,4,80,cash
2,123,maida,2024-01-01,8,20,8,160,cash
8,122,clinic plus,2024-01-01,6,1.5,10,15.0,UPI
1,123,dantkanti,2024-01-01,9,100,1,100,UPI
4,122,nutrella,2024-01-01,6,40,9,360,cash
11,122,dantkanti,2024-01-01,4,100,5,500,UPI
19,121,clinic plus,2024-01-01,1,1.5,8,12.0,cash
8,123,refined oil,2024-01-01,7,110,3,330,UPI
14,122,nutrella,2024-01-01,6,40,4,160,UPI
13,123,dantkanti,2024-01-01,8,100,10,1000,UPI
2,123,nutrella,2024-01-01,9,40,5,200,UPI
13,121,besan,2024-01-01,1,52,2,104,cash
6,123,refined oil,2024-01-01,7,110,3,330,cash
16,123,quaker oats,2024-01-01,8,212,2,424,UPI
7,123,clinic plus,2024-01-01,7,1.5,7,10.5,UPI
3,121,clinic plus,2024-01-01,2,1.5,2,3.0,cash
18,121,besan,2024-01-01,1,52,5,260,cash
5,123,quaker oats,2024-01-01,9,212,5,1060,UPI
7,123,maida,2024-01-01,7,20,6,120,UPI
6,122,maida,2024-01-01,4,20,5,100,UPI
19,122,maida,2024-01-01,6,20,5,100,cash
16,121,sugar,2024-01-01,2,50,6,300,cash
12,122,maida,2024-01-01,5,20,5,100,cash
12,121,maida,2024-01-01,1,20,9,180,cash
5,121,nutrella,2024-01-01,2,40,5,200,UPI
17,121,refined oil,2024-01-01,3,110,7,770,UPI
8,121,sugar,2024-01-01,2,50,4,200,cash
10,121,clinic plus,2024-01-01,1,1.5,9,13.5,UPI
12,122,sugar,2024-01-01,6,50,8,400,cash
13,122,quaker oats,2024-01-01,5,212,4,848,cash
18,122,besan,2024-01-01,4,52,3,156,cash
7,123,sugar,2024-01-01,8,50,3,150,UPI
16,122,refined oil,2024-01-01,6,110,1,110,cash
13,122,sugar,2024-01-01,5,50,6,300,cash
19,123,dantkanti,2024-01-01,9,100,2,200,cash
11,122,besan,2024-01-01,6,52,1,52,UPI
18,121,clinic plus,2024-01-01,3,1.5,6,9.0,UPI
15,122,besan,2024-01-01,4,52,4,208,cash
15,123,clinic plus,2024-01-01,7,1.5,2,3.0,UPI
12,122,sugar,2024-01-01,4,50,2,100,UPI
16,121,sugar,2024-01-01,2,50,3,150,cash
11,121,nutrella,2024-01-01,2,40,3,120,UPI
15,123,clinic plus,2024-01-01,7,1.5,9,13.5,UPI
5,123,clinic plus,2024-01-01,8,1.5,10,15.0,UPI
9,122,besan,2024-01-01,6,52,8,416,UPI
7,122,maida,2024-01-01,5,20,2,40,cash
20,122,clinic plus,2024-01-01,6,1.5,8,12.0,cash
3,122,nutrella,2024-01-01,6,40,9,360,UPI
19,122,dantkanti,2024-01-01,6,100,8,800,cash
5,123,sugar,2024-01-01,7,50,9,450,UPI
14,123,dantkanti,2024-01-01,9,100,8,800,UPI
9,123,refined oil,2024-01-01,9,110,5,550,UPI
9,123,refined oil,2024-01-01,8,110,5,550,cash
17,122,besan,2024-01-01,4,52,8,416,UPI
9,121,maida,2024-01-01,3,20,4,80,UPI
17,122,nutrella,2024-01-01,6,40,2,80,UPI
11,121,quaker oats,2024-01-01,3,212,2,424,cash
9,122,besan,2024-01-01,6,52,6,312,UPI
1,123,besan,2024-01-01,7,52,6,312,UPI
10,122,maida,2024-01-01,5,20,10,200,UPI
9,123,besan,2024-01-01,9,52,2,104,UPI
15,123,dantkanti,2024-01-01,8,100,1,100,UPI
12,123,maida,2024-01-01,8,20,9,180,cash
4,123,besan,2024-01-01,9,52,1,52,cash
18,121,maida,2024-01-01,1,20,7,140,cash
1,122,besan,2024-01-01,6,52,2,104,UPI
4,122,nutrella,2024-01-01,5,40,5,200,cash
3,123,refined oil,2024-01-01,7,110,8,880,UPI
3,122,refined oil,2024-01-01,6,110,7,770,cash
20,122,quaker oats,2024-01-01,6,212,6,1272,cash
1,122,nutrella,2024-01-01,4,40,4,160,cash
4,122,refined oil,2024-01-01,4,110,10,1100,UPI
10,122,refined oil,2024-01-01,6,110,10,1100,cash
19,123,nutrella,2024-01-01,7,40,10,400,cash
1,123,sugar,2024-01-01,9,50,8,400,UPI
4,122,clinic plus,2024-01-01,6,1.5,2,3.0,cash
14,123,quaker oats,2024-01-01,8,212,6,1272,UPI
8,121,nutrella,2024-01-01,3,40,8,320,UPI
7,121,refined oil,2024-01-01,2,110,10,1100,UPI
17,122,sugar,2024-01-01,6,50,8,400,UPI
5,121,refined oil,2024-01-01,2,110,8,880,UPI
7,122,clinic plus,2024-01-01,4,1.5,8,12.0,cash
19,123,maida,2024-01-01,8,20,3,60,UPI
10,123,quaker oats,2024-01-01,9,212,7,1484,UPI
8,123,dantkanti,2024-01-01,7,100,3,300,cash
17,121,refined oil,2024-01-01,3,110,4,440,UPI
20,121,clinic plus,2024-01-01,3,1.5,3,4.5,cash
6,123,clinic plus,2024-01-01,8,1.5,2,3.0,UPI
19,121,maida,2024-01-01,1,20,1,20,UPI
6,121,clinic plus,2024-01-01,3,1.5,2,3.0,UPI
5,122,besan,2024-01-01,6,52,8,416,cash
17,123,refined oil,2024-01-01,9,110,1,110,UPI
17,123,dantkanti,2024-01-01,9,100,4,400,UPI
17,121,dantkanti,2024-01-01,2,100,2,200,cash
13,122,quaker oats,2024-01-01,4,212,2,424,UPI
15,123,refined oil,2024-01-01,8,110,1,110,cash
18,122,nutrella,2024-01-01,6,40,2,80,UPI
13,121,nutrella,2024-01-01,1,40,2,80,UPI
19,122,sugar,2024-01-01,4,50,8,400,cash
9,123,nutrella,2024-01-01,8,40,1,40,UPI
3,123,dantkanti,2024-01-01,9,100,9,900,UPI
7,121,dantkanti,2024-01-01,2,100,9,900,UPI
18,121,besan,2024-01-01,3,52,1,52,UPI
9,121,dantkanti,2024-01-01,2,100,4,400,UPI
17,121,nutrella,2024-01-01,1,40,9,360,UPI
17,123,maida,2024-01-01,7,20,7,140,cash
11,121,refined oil,2024-01-01,3,110,6,660,UPI
13,123,quaker oats,2024-01-01,8,212,2,424,UPI
6,122,nutrella,2024-01-01,4,40,7,280,cash
3,123,maida,2024-01-01,9,20,9,180,UPI
18,122,dantkanti,2024-01-01,5,100,4,400,cash
1,121,clinic plus,2024-01-01,3,1.5,6,9.0,cash
1,121,sugar,2024-01-01,3,50,3,150,cash
19,121,maida,2024-01-01,1,20,9,180,cash
3,123,quaker oats,2024-01-01,9,212,10,2120,cash
11,122,quaker oats,2024-01-01,5,212,10,2120,UPI
15,121,clinic plus,2024-01-01,2,1.5,9,13.5,UPI
17,122,besan,2024-01-01,6,52,8,416,UPI
2,121,clinic plus,2024-01-01,2,1.5,8,12.0,cash
19,121,nutrella,2024-01-01,2,40,4,160,UPI
14,122,maida,2024-01-01,4,20,5,100,cash
18,121,besan,2024-01-01,2,52,9,468,cash
17,123,maida,2024-01-01,7,20,1,20,cash
3,121,sugar,2024-01-01,1,50,9,450,cash
20,122,clinic plus,2024-01-01,4,1.5,2,3.0,UPI
2,121,nutrella,2024-01-01,2,40,8,320,UPI
9,122,dantkanti,2024-01-01,6,100,10,1000,cash
10,121,nutrella,2024-01-01,2,40,10,400,cash
8,123,quaker oats,2024-01-01,8,212,2,424,cash
14,123,dantkanti,2024-01-01,7,100,2,200,UPI
13,123,maida,2024-01-01,7,20,3,60,UPI
14,123,clinic plus,2024-01-01,7,1.5,9,13.5,UPI
20,121,sugar,2024-01-01,1,50,8,400,cash
14,121,besan,2024-01-01,2,52,2,104,UPI
13,121,refined oil,2024-01-01,3,110,9,990,cash
9,123,clinic plus,2024-01-01,9,1.5,5,7.5,cash
20,121,sugar,2024-01-01,3,50,9,450,cash
1,121,quaker oats,2024-01-01,2,212,7,1484,cash
2,122,refined oil,2024-01-01,6,110,5,550,cash
6,121,quaker oats,2024-01-01,3,212,4,848,cash
2,121,dantkanti,2024-01-01,1,100,2,200,cash
9,122,dantkanti,2024-01-01,5,100,5,500,cash
1,122,refined oil,2024-01-01,6,110,6,660,cash
16,123,quaker oats,2024-01-01,9,212,9,1908,cash
17,122,maida,2024-01-01,5,20,3,60,UPI
14,122,besan,2024-01-01,4,52,2,104,cash
11,123,nutrella,2024-01-01,9,40,10,400,cash
1,123,quaker oats,2024-01-01,7,212,10,2120,UPI
8,121,quaker oats,2024-01-01,2,212,6,1272,cash
2,123,nutrella,2024-01-01,8,40,4,160,UPI
13,123,clinic plus,2024-01-01,7,1.5,3,4.5,cash
5,122,clinic plus,2024-01-01,6,1.5,6,9.0,cash
1,123,nutrella,2024-01-01,7,40,4,160,UPI
7,121,refined oil,2024-01-01,2,110,5,550,UPI
2,122,quaker oats,2024-01-01,5,212,7,1484,cash
13,123,maida,2024-01-01,9,20,3,60,UPI
19,122,quaker oats,2024-01-01,4,212,2,424,UPI
3,123,besan,2024-01-01,7,52,2,104,cash
14,123,quaker oats,2024-01-01,9,212,7,1484,UPI
5,123,quaker oats,2024-01-01,8,212,5,1060,cash
19,121,maida,2024-01-01,2,20,2,40,cash
8,123,clinic plus,2024-01-01,9,1.5,3,4.5,cash
11,121,dantkanti,2024-01-01,2,100,9,900,cash
2,123,clinic plus,2024-01-01,7,1.5,3,4.5,cash
2,123,sugar,2024-01-01,9,50,5,250,cash
10,123,clinic plus,2024-01-01,8,1.5,6,9.0,UPI
10,121,maida,2024-01-01,1,20,1,20,UPI
17,123,maida,2024-01-01,7,20,9,180,cash
1,121,refined oil,2024-01-01,2,110,2,220,UPI
11,121,besan,2024-01-01,1,52,3,156,UPI
20,121,nutrella,2024-01-01,2,40,10,400,cash
8,123,quaker oats,2024-01-01,9,212,4,848,cash
8,122,maida,2024-01-01,5,20,1,20,UPI
15,122,nutrella,2024-01-01,5,40,10,400,UPI
4,121,nutrella,2024-01-01,3,40,10,400,cash
6,122,clinic plus,2024-01-01,6,1.5,8,12.0,cash
19,121,nutrella,2024-01-01,3,40,10,400,cash
10,122,besan,2024-01-01,5,52,1,52,cash
3,123,maida,2024-01-01,8,20,1,20,UPI
20,122,besan,2024-01-01,4,52,10,520,UPI
4,123,quaker oats,2024-01-01,9,212,4,848,UPI
8,122,dantkanti,2024-01-01,5,100,3,300,UPI
15,122,maida,2024-01-01,6,20,3,60,cash
15,122,clinic plus,2024-01-01,4,1.5,7,10.5,cash
19,123,dantkanti,2024-01-01,7,100,1,100,UPI
15,121,sugar,2024-01-01,1,50,2,100,UPI
10,121,maida,2024-01-01,3,20,4,80,cash
8,121,sugar,2024-01-01,1,50,3,150,UPI
12,121,besan,2024-01-01,3,52,3,156,cash
16,121,clinic plus,2024-01-01,1,1.5,3,4.5,cash
5,121,besan,2024-01-01,1,52,2,104,cash
15,122,refined oil,2024-01-01,6,110,8,880,UPI
20,122,clinic plus,2024-01-01,6,1.5,3,4.5,UPI
14,122,maida,2024-01-01,4,20,1,20,cash
5,122,besan,2024-01-01,6,52,9,468,UPI
9,121,clinic plus,2024-01-01,3,1.5,9,13.5,UPI
20,122,quaker oats,2024-01-01,6,212,3,636,cash
14,121,clinic plus,2024-01-01,1,1.5,7,10.5,UPI
18,121,maida,2024-01-01,3,20,1,20,UPI
20,121,dantkanti,2024-01-01,1,100,3,300,UPI
9,122,dantkanti,2024-01-01,4,100,5,500,cash
18,123,dantkanti,2024-01-01,7,100,8,800,cash
5,122,quaker oats,2024-01-01,6,212,5,1060,cash
15,121,sugar,2024-01-01,2,50,4,200,UPI
14,122,refined oil,2024-01-01,5,110,6,660,UPI
17,122,besan,2024-01-01,6,52,7,364,UPI
8,123,sugar,2024-01-01,8,50,1,50,UPI
16,123,dantkanti,2024-01-01,7,100,8,800,cash
11,121,besan,2024-01-01,2,52,7,364,UPI
20,122,sugar,2024-01-01,4,50,7,350,cash
7,123,dantkanti,2024-01-01,8,100,9,900,UPI
8,121,quaker oats,2024-01-01,3,212,1,212,cash
4,123,refined oil,2024-01-01,9,110,5,550,UPI
14,121,besan,2024-01-01,2,52,7,364,cash
9,122,besan,2024-01-01,5,52,9,468,cash
8,123,clinic plus,2024-01-01,7,1.5,6,9.0,cash
3,123,nutrella,2024-01-01,7,40,5,200,cash
1,123,quaker oats,2024-01-01,7,212,1,212,cash
6,121,refined oil,2024-01-01,2,110,7,770,UPI
5,123,clinic plus,2024-01-01,8,1.5,2,3.0,cash
16,122,maida,2024-01-01,4,20,9,180,cash
20,123,clinic plus,2024-01-01,8,1.5,4,6.0,UPI
2,122,quaker oats,2024-01-01,6,212,6,1272,cash
18,123,dantkanti,2024-01-01,7,100,4,400,cash
16,121,sugar,2024-01-01,2,50,4,200,UPI
13,121,sugar,2024-01-01,3,50,2,100,UPI
14,123,refined oil,2024-01-01,9,110,3,330,UPI
14,121,refined oil,2024-01-01,2,110,4,440,cash
1,121,maida,2024-01-01,3,20,2,40,cash
6,121,quaker oats,2024-01-01,2,212,6,1272,cash
8,121,dantkanti,2024-01-01,2,100,6,600,cash
16,122,dantkanti,2024-01-01,5,100,1,100,cash
15,121,besan,2024-01-01,1,52,8,416,UPI
